Name_of_disease,url,procedure_price,cred_procedure_price
Kidney Dialysis,https://www.credihealth.com/procedures/kidney-dialysis-cost-in-india,NA,NA
Kidney Transplant,https://www.credihealth.com/procedures/kidney-transplant-cost-in-india,NA,NA
Laparoscopic Cholecystectomy,https://www.credihealth.com/procedures/laparoscopic-cholecystectomy-cost-in-india,NA,NA
Coronary Angiography,https://www.credihealth.com/procedures/coronary-angiography-cost-in-india,NA,NA
Normal Delivery,https://www.credihealth.com/procedures/normal-delivery-cost-in-india,NA,NA
Knee Replacement,https://www.credihealth.com/procedures/knee-replacement-cost-in-india,NA,NA
Brain Tumor Surgery,https://www.credihealth.com/procedures/brain-tumor-surgery-cost-in-india,NA,NA
Coronary Angioplasty,https://www.credihealth.com/procedures/coronary-angioplasty-cost-in-india,NA,NA
Hernia Surgery,https://www.credihealth.com/procedures/hernia-surgery-cost-in-india,NA,NA
Coronary Artery Bypass Grafting,https://www.credihealth.com/procedures/coronary-artery-bypass-grafting-cost-in-india,NA,NA
Pacemaker Surgery,https://www.credihealth.com/procedures/pacemaker-surgery-cost-in-india,NA,NA
Blood Cancer Treatment,https://www.credihealth.com/procedures/blood-cancer-treatment-cost-in-india,NA,NA
Breast Cancer Treatment,https://www.credihealth.com/procedures/breast-cancer-treatment-cost-in-india,NA,NA
Liver Transplant,https://www.credihealth.com/procedures/liver-transplant-cost-in-india,NA,NA
Normal Delivery Baby,https://www.credihealth.com/procedures/normal-delivery-baby-cost-in-india,NA,NA
Bone Marrow Transplant,https://www.credihealth.com/procedures/bone-marrow-transplant-cost-in-india,NA,NA
Heart Valve Replacement,https://www.credihealth.com/procedures/heart-valve-replacement-cost-in-india,NA,NA
Prostate Cancer Treatment,https://www.credihealth.com/procedures/prostate-cancer-treatment-cost-in-india,INR 81000,INR 81000
In Vitro Fertilisation,https://www.credihealth.com/procedures/in-vitro-fertilisation-cost-in-india,NA,NA
Hip Replacement,https://www.credihealth.com/procedures/hip-replacement-cost-in-india,NA,NA
Ovulation,https://www.credihealth.com/procedures/ovulation-cost-in-india,NA,NA
Hydrocele Surgery,https://www.credihealth.com/procedures/hydrocele-surgery-cost-in-india,NA,NA
Breast Cancer Surgery,https://www.credihealth.com/procedures/breast-cancer-surgery-cost-in-india,NA,NA
Dilatation and Curettage,https://www.credihealth.com/procedures/dilatation-and-curettage-cost-in-india,NA,NA
Infertility Treatment,https://www.credihealth.com/procedures/infertility-treatment-cost-in-india,NA,NA
Premature Ejaculation,https://www.credihealth.com/procedures/premature-ejaculation-cost-in-india,NA,NA
LASIK,https://www.credihealth.com/procedures/lasik-cost-in-india,NA,NA
Pulmonary Function Test,https://www.credihealth.com/procedures/pulmonary-function-test-cost-in-india,NA,NA
